codigo,codigo_global,numero_na_selecao,selecao,grupo,confederacao,ranking_fifa,jogador,posicao,clube,tipo,raridade,is_brilhante,rating_overall,pagina_album
POR01,240,1,Portugal,C,UEFA,6,Escudo Portugal,ESP,—,Escudo,Brilhante,1,,25
POR02,241,2,Portugal,C,UEFA,6,Grupo C — Portugal,ESP,—,Grupo,Normal,0,,25
POR03,242,3,Portugal,C,UEFA,6,Diogo Costa,GOL,Porto,Goleiro,Normal,0,78,25
POR04,243,4,Portugal,C,UEFA,6,Rui Patrício,GOL,Roma,Goleiro,Normal,0,76,25
POR05,244,5,Portugal,C,UEFA,6,Rúben Dias,ZAG,Manchester City,Jogador,Normal,0,82,25
POR06,245,6,Portugal,C,UEFA,6,Pepe,ZAG,Porto,Jogador,Normal,0,80,25
POR07,246,7,Portugal,C,UEFA,6,Gonçalo Inácio,ZAG,Sporting CP,Jogador,Normal,0,75,25
POR08,247,8,Portugal,C,UEFA,6,Nuno Mendes,LAT,PSG,Jogador,Normal,0,81,25
POR09,248,9,Portugal,C,UEFA,6,João Cancelo,LAT,Barcelona,Jogador,Normal,0,81,25
POR10,249,10,Portugal,C,UEFA,6,João Palhinha,VOL,Bayern Munique,Jogador,Normal,0,82,25
POR11,250,11,Portugal,C,UEFA,6,Bernardo Silva,MEI,Manchester City,Jogador,Normal,0,77,25
POR12,251,12,Portugal,C,UEFA,6,Bruno Fernandes,MEI,Manchester United,Jogador,Normal,0,85,25
POR13,252,13,Portugal,C,UEFA,6,Vitinha,MEI,PSG,Jogador,Normal,0,77,25
POR14,253,14,Portugal,C,UEFA,6,Rafael Leão,ATA,Milan,Jogador,Normal,0,78,25
POR15,254,15,Portugal,C,UEFA,6,Pedro Neto,ATA,Chelsea,Jogador,Normal,0,75,25
POR16,255,16,Portugal,C,UEFA,6,Diogo Jota,ATA,Liverpool,Jogador,Normal,0,84,25
POR17,256,17,Portugal,C,UEFA,6,Gonçalo Ramos,ATA,PSG,Jogador,Normal,0,78,25
POR18,257,18,Portugal,C,UEFA,6,Francisco Conceição,ATA,Juventus,Jogador,Normal,0,80,25
POR19,258,19,Portugal,C,UEFA,6,Cristiano Ronaldo,ATA,Al-Nassr,Estrela,Brilhante,1,85,25
POR20,259,20,Portugal,C,UEFA,6,Cristiano Ronaldo,ATA,Al-Nassr,Destaque,Brilhante,1,82,25
ARG01,260,1,Argentina,D,CONMEBOL,1,Escudo Argentina,ESP,—,Escudo,Brilhante,1,,27
ARG02,261,2,Argentina,D,CONMEBOL,1,Grupo D — Argentina,ESP,—,Grupo,Normal,0,,27
ARG03,262,3,Argentina,D,CONMEBOL,1,Emiliano Martínez,GOL,Aston Villa,Goleiro,Normal,0,84,27
ARG04,263,4,Argentina,D,CONMEBOL,1,Franco Armani,GOL,River Plate,Goleiro,Normal,0,84,27
ARG05,264,5,Argentina,D,CONMEBOL,1,Cristian Romero,ZAG,Tottenham,Jogador,Normal,0,81,27
ARG06,265,6,Argentina,D,CONMEBOL,1,Lisandro Martínez,ZAG,Manchester United,Jogador,Normal,0,85,27
ARG07,266,7,Argentina,D,CONMEBOL,1,Nicolás Otamendi,ZAG,Benfica,Jogador,Normal,0,84,27
ARG08,267,8,Argentina,D,CONMEBOL,1,Nahuel Molina,LAT,Atlético Madrid,Jogador,Normal,0,79,27
ARG09,268,9,Argentina,D,CONMEBOL,1,Marcos Acuña,LAT,Sevilla,Jogador,Normal,0,83,27
ARG10,269,10,Argentina,D,CONMEBOL,1,Rodrigo De Paul,MEI,Atlético Madrid,Jogador,Normal,0,81,27
ARG11,270,11,Argentina,D,CONMEBOL,1,Leandro Paredes,VOL,Roma,Jogador,Normal,0,84,27
ARG12,271,12,Argentina,D,CONMEBOL,1,Alexis Mac Allister,MEI,Liverpool,Jogador,Normal,0,86,27
ARG13,272,13,Argentina,D,CONMEBOL,1,Ángel Di María,ATA,Benfica,Jogador,Normal,0,81,27
ARG14,273,14,Argentina,D,CONMEBOL,1,Paulo Dybala,ATA,Roma,Jogador,Normal,0,85,27
ARG15,274,15,Argentina,D,CONMEBOL,1,Nicolás González,ATA,Juventus,Jogador,Normal,0,84,27
ARG16,275,16,Argentina,D,CONMEBOL,1,Lautaro Martínez,ATA,Inter de Milão,Jogador,Normal,0,87,27
ARG17,276,17,Argentina,D,CONMEBOL,1,Julián Álvarez,ATA,Atlético Madrid,Jogador,Normal,0,80,27
ARG18,277,18,Argentina,D,CONMEBOL,1,Alejandro Garnacho,ATA,Manchester United,Jogador,Normal,0,83,27
ARG19,278,19,Argentina,D,CONMEBOL,1,Lionel Messi,ATA,Inter Miami,Estrela,Brilhante,1,88,27
ARG20,279,20,Argentina,D,CONMEBOL,1,Lionel Messi,ATA,Inter Miami,Destaque,Brilhante,1,87,27
NOR01,280,1,Noruega,D,UEFA,25,Escudo Noruega,ESP,—,Escudo,Brilhante,1,,29
NOR02,281,2,Noruega,D,UEFA,25,Grupo D — Noruega,ESP,—,Grupo,Normal,0,,29
NOR03,282,3,Noruega,D,UEFA,25,García,GOL,Besiktas,Goleiro,Normal,0,77,29
NOR04,283,4,Noruega,D,UEFA,25,Novak,GOL,Feyenoord,Goleiro,Normal,0,76,29
NOR05,284,5,Noruega,D,UEFA,25,Novak,ZAG,Ajax,Jogador,Normal,0,76,29
NOR06,285,6,Noruega,D,UEFA,25,Dembélé,ZAG,Porto,Jogador,Normal,0,77,29
NOR07,286,7,Noruega,D,UEFA,25,Petrov,ZAG,Anderlecht,Jogador,Normal,0,78,29
NOR08,287,8,Noruega,D,UEFA,25,García,LAT,Lyon,Jogador,Normal,0,77,29
NOR09,288,9,Noruega,D,UEFA,25,Rossi,LAT,Benfica,Jogador,Normal,0,77,29
NOR10,289,10,Noruega,D,UEFA,25,Andersen,VOL,Celtic,Jogador,Normal,0,75,29
NOR11,290,11,Noruega,D,UEFA,25,Smith,MEI,Galatasaray,Jogador,Normal,0,71,29
NOR12,291,12,Noruega,D,UEFA,25,Svensson,MEI,Galatasaray,Jogador,Normal,0,78,29
NOR13,292,13,Noruega,D,UEFA,25,Hansen,ATA,Anderlecht,Jogador,Normal,0,81,29
NOR14,293,14,Noruega,D,UEFA,25,Petrov,ATA,Rangers,Jogador,Normal,0,80,29
NOR15,294,15,Noruega,D,UEFA,25,Kovač,ATA,Shakhtar,Jogador,Normal,0,78,29
NOR16,295,16,Noruega,D,UEFA,25,Petrov,ATA,Shakhtar,Jogador,Normal,0,76,29
NOR17,296,17,Noruega,D,UEFA,25,Smith,ATA,Feyenoord,Jogador,Normal,0,76,29
NOR18,297,18,Noruega,D,UEFA,25,Rossi,ATA,Dynamo Kyiv,Jogador,Normal,0,77,29
NOR19,298,19,Noruega,D,UEFA,25,Estrela Noruega,ATA,Porto,Estrela,Brilhante,1,76,29
NOR20,299,20,Noruega,D,UEFA,25,Estrela Noruega,ATA,Feyenoord,Destaque,Brilhante,1,78,29
SEN01,300,1,Senegal,D,CAF,18,Escudo Senegal,ESP,—,Escudo,Brilhante,1,,31
SEN02,301,2,Senegal,D,CAF,18,Grupo D — Senegal,ESP,—,Grupo,Normal,0,,31
SEN03,302,3,Senegal,D,CAF,18,Édouard Mendy,GOL,Chelsea,Goleiro,Normal,0,75,31
SEN04,303,4,Senegal,D,CAF,18,Alfred Gomis,GOL,Rennes,Goleiro,Normal,0,78,31
SEN05,304,5,Senegal,D,CAF,18,Kalidou Koulibaly,ZAG,Al-Hilal,Jogador,Normal,0,78,31
SEN06,305,6,Senegal,D,CAF,18,Abdou Diallo,ZAG,Leipzig,Jogador,Normal,0,76,31
SEN07,306,7,Senegal,D,CAF,18,Pape Abou Cissé,ZAG,Olympiakos,Jogador,Normal,0,78,31
SEN08,307,8,Senegal,D,CAF,18,Youssouf Sabaly,LAT,Betis,Jogador,Normal,0,79,31
SEN09,308,9,Senegal,D,CAF,18,Ismail Jakobs,LAT,Monaco,Jogador,Normal,0,80,31
SEN10,309,10,Senegal,D,CAF,18,Nampalys Mendy,VOL,Leicester,Jogador,Normal,0,75,31
SEN11,310,11,Senegal,D,CAF,18,Pape Matar Sarr,MEI,Tottenham,Jogador,Normal,0,78,31
SEN12,311,12,Senegal,D,CAF,18,Krepin Diatta,MEI,Monaco,Jogador,Normal,0,76,31
SEN13,312,13,Senegal,D,CAF,18,Ismaïla Sarr,ATA,Crystal Palace,Jogador,Normal,0,74,31
SEN14,313,14,Senegal,D,CAF,18,Nicolas Jackson,ATA,Chelsea,Jogador,Normal,0,79,31
SEN15,314,15,Senegal,D,CAF,18,Habib Diallo,ATA,Strasbourg,Jogador,Normal,0,73,31
SEN16,315,16,Senegal,D,CAF,18,Bamba Dieng,ATA,Lorient,Jogador,Normal,0,74,31
SEN17,316,17,Senegal,D,CAF,18,Iliman Ndiaye,ATA,Olympique Marseille,Jogador,Normal,0,79,31
SEN18,317,18,Senegal,D,CAF,18,Lamine Camara,MEI,Monaco,Jogador,Normal,0,74,31
SEN19,318,19,Senegal,D,CAF,18,Cheikhou Kouyaté,VOL,Nottm Forest,Estrela,Brilhante,1,76,31
SEN20,319,20,Senegal,D,CAF,18,Cheikhou Kouyaté,VOL,Nottm Forest,Destaque,Brilhante,1,75,31
GUA01,320,1,Guatemala,D,CONCACAF,117,Escudo Guatemala,ESP,—,Escudo,Brilhante,1,,33
GUA02,321,2,Guatemala,D,CONCACAF,117,Grupo D — Guatemala,ESP,—,Grupo,Normal,0,,33
GUA03,322,3,Guatemala,D,CONCACAF,117,Hernández,GOL,León,Goleiro,Normal,0,70,33
GUA04,323,4,Guatemala,D,CONCACAF,117,Lozano,GOL,Pumas,Goleiro,Normal,0,58,33
GUA05,324,5,Guatemala,D,CONCACAF,117,Millar,ZAG,CF Montréal,Jogador,Normal,0,63,33
GUA06,325,6,Guatemala,D,CONCACAF,117,Millar,ZAG,Toronto FC,Jogador,Normal,0,64,33
GUA07,326,7,Guatemala,D,CONCACAF,117,Hernández,ZAG,Chivas,Jogador,Normal,0,57,33
GUA08,327,8,Guatemala,D,CONCACAF,117,Millar,LAT,Tigres UANL,Jogador,Normal,0,61,33
GUA09,328,9,Guatemala,D,CONCACAF,117,Hernández,LAT,León,Jogador,Normal,0,62,33
GUA10,329,10,Guatemala,D,CONCACAF,117,Larin,VOL,Tigres UANL,Jogador,Normal,0,66,33
GUA11,330,11,Guatemala,D,CONCACAF,117,Lozano,MEI,Club América,Jogador,Normal,0,65,33
GUA12,331,12,Guatemala,D,CONCACAF,117,Davies,MEI,Club América,Jogador,Normal,0,64,33
GUA13,332,13,Guatemala,D,CONCACAF,117,Antuna,ATA,Cruz Azul,Jogador,Normal,0,63,33
GUA14,333,14,Guatemala,D,CONCACAF,117,Jiménez,ATA,León,Jogador,Normal,0,65,33
GUA15,334,15,Guatemala,D,CONCACAF,117,Larin,ATA,Toronto FC,Jogador,Normal,0,67,33
GUA16,335,16,Guatemala,D,CONCACAF,117,Millar,ATA,Tigres UANL,Jogador,Normal,0,61,33
GUA17,336,17,Guatemala,D,CONCACAF,117,Lawrence,ATA,Tigres UANL,Jogador,Normal,0,70,33
GUA18,337,18,Guatemala,D,CONCACAF,117,Osorio,ATA,Tigres UANL,Jogador,Normal,0,61,33
GUA19,338,19,Guatemala,D,CONCACAF,117,Estrela Guatemala,ATA,Club América,Estrela,Brilhante,1,68,33
GUA20,339,20,Guatemala,D,CONCACAF,117,Estrela Guatemala,ATA,León,Destaque,Brilhante,1,63,33
FRA01,340,1,França,E,UEFA,2,Escudo França,ESP,—,Escudo,Brilhante,1,,35
FRA02,341,2,França,E,UEFA,2,Grupo E — França,ESP,—,Grupo,Normal,0,,35
FRA03,342,3,França,E,UEFA,2,Mike Maignan,GOL,Milan,Goleiro,Normal,0,88,35
FRA04,343,4,França,E,UEFA,2,Alphonse Areola,GOL,West Ham,Goleiro,Normal,0,87,35
FRA05,344,5,França,E,UEFA,2,William Saliba,ZAG,Arsenal,Jogador,Normal,0,85,35
FRA06,345,6,França,E,UEFA,2,Dayot Upamecano,ZAG,Bayern Munique,Jogador,Normal,0,85,35
FRA07,346,7,França,E,UEFA,2,Ibrahima Konaté,ZAG,Liverpool,Jogador,Normal,0,85,35
FRA08,347,8,França,E,UEFA,2,Théo Hernández,LAT,Milan,Jogador,Normal,0,85,35
FRA09,348,9,França,E,UEFA,2,Benjamin Pavard,ZAG,Inter de Milão,Jogador,Normal,0,84,35
FRA10,349,10,França,E,UEFA,2,Aurélien Tchouaméni,VOL,Real Madrid,Jogador,Normal,0,84,35
FRA11,350,11,França,E,UEFA,2,N'Golo Kanté,VOL,Al-Ittihad,Jogador,Normal,0,89,35
FRA12,351,12,França,E,UEFA,2,Antoine Griezmann,MEI,Atlético Madrid,Jogador,Normal,0,86,35
FRA13,352,13,França,E,UEFA,2,Ousmane Dembélé,ATA,PSG,Jogador,Normal,0,79,35
FRA14,353,14,França,E,UEFA,2,Marcus Thuram,ATA,Inter de Milão,Jogador,Normal,0,82,35
FRA15,354,15,França,E,UEFA,2,Randal Kolo Muani,ATA,Juventus,Jogador,Normal,0,87,35
FRA16,355,16,França,E,UEFA,2,Bradley Barcola,ATA,PSG,Jogador,Normal,0,81,35
FRA17,356,17,França,E,UEFA,2,Mathys Tel,ATA,Bayer Leverkusen,Jogador,Normal,0,87,35
FRA18,357,18,França,E,UEFA,2,Adrien Rabiot,MEI,Olympique Marseille,Jogador,Normal,0,85,35
FRA19,358,19,França,E,UEFA,2,Kylian Mbappé,ATA,Real Madrid,Estrela,Brilhante,1,88,35
FRA20,359,20,França,E,UEFA,2,Kylian Mbappé,ATA,Real Madrid,Destaque,Brilhante,1,83,35
HOL01,360,1,Holanda,E,UEFA,7,Escudo Holanda,ESP,—,Escudo,Brilhante,1,,37
HOL02,361,2,Holanda,E,UEFA,7,Grupo E — Holanda,ESP,—,Grupo,Normal,0,,37
HOL03,362,3,Holanda,E,UEFA,7,Bart Verbruggen,GOL,Brighton,Goleiro,Normal,0,84,37
HOL04,363,4,Holanda,E,UEFA,7,Mark Flekken,GOL,Brentford,Goleiro,Normal,0,80,37
HOL05,364,5,Holanda,E,UEFA,7,Virgil van Dijk,ZAG,Liverpool,Jogador,Normal,0,77,37
HOL06,365,6,Holanda,E,UEFA,7,Matthijs de Ligt,ZAG,Manchester United,Jogador,Normal,0,80,37
HOL07,366,7,Holanda,E,UEFA,7,Nathan Aké,ZAG,Manchester City,Jogador,Normal,0,86,37
HOL08,367,8,Holanda,E,UEFA,7,Denzel Dumfries,LAT,Inter de Milão,Jogador,Normal,0,84,37
HOL09,368,9,Holanda,E,UEFA,7,Destiny Udogie,LAT,Tottenham,Jogador,Normal,0,86,37
HOL10,369,10,Holanda,E,UEFA,7,Frenkie de Jong,VOL,Barcelona,Jogador,Normal,0,78,37
HOL11,370,11,Holanda,E,UEFA,7,Teun Koopmeiners,MEI,Juventus,Jogador,Normal,0,81,37
HOL12,371,12,Holanda,E,UEFA,7,Tijjani Reijnders,MEI,Milan,Jogador,Normal,0,75,37
HOL13,372,13,Holanda,E,UEFA,7,Donyell Malen,ATA,Borussia Dortmund,Jogador,Normal,0,82,37
HOL14,373,14,Holanda,E,UEFA,7,Xavi Simons,MEI,PSG,Jogador,Normal,0,76,37
HOL15,374,15,Holanda,E,UEFA,7,Brian Brobbey,ATA,Ajax,Jogador,Normal,0,82,37
HOL16,375,16,Holanda,E,UEFA,7,Steven Bergwijn,ATA,Ajax,Jogador,Normal,0,78,37
HOL17,376,17,Holanda,E,UEFA,7,Cody Gakpo,ATA,Liverpool,Jogador,Normal,0,82,37
HOL18,377,18,Holanda,E,UEFA,7,Joey Veerman,MEI,PSV,Jogador,Normal,0,82,37
HOL19,378,19,Holanda,E,UEFA,7,Memphis Depay,ATA,Corinthians,Estrela,Brilhante,1,79,37
HOL20,379,20,Holanda,E,UEFA,7,Memphis Depay,ATA,Corinthians,Destaque,Brilhante,1,85,37
AUS01,380,1,Austrália,E,AFC,24,Escudo Austrália,ESP,—,Escudo,Brilhante,1,,39
AUS02,381,2,Austrália,E,AFC,24,Grupo E — Austrália,ESP,—,Grupo,Normal,0,,39
AUS03,382,3,Austrália,E,AFC,24,Salem,GOL,Al-Ain,Goleiro,Normal,0,76,39
AUS04,383,4,Austrália,E,AFC,24,Morita,GOL,Al-Ain,Goleiro,Normal,0,77,39
AUS05,384,5,Austrália,E,AFC,24,Kim,ZAG,Al-Nassr,Jogador,Normal,0,73,39
AUS06,385,6,Austrália,E,AFC,24,Park,ZAG,Yokohama FM,Jogador,Normal,0,76,39
AUS07,386,7,Austrália,E,AFC,24,Kim,ZAG,Al-Nassr,Jogador,Normal,0,75,39
AUS08,387,8,Austrália,E,AFC,24,Honda,LAT,Jeonbuk,Jogador,Normal,0,79,39
AUS09,388,9,Austrália,E,AFC,24,Nishino,LAT,Jeonbuk,Jogador,Normal,0,74,39
AUS10,389,10,Austrália,E,AFC,24,Yoshida,VOL,Al-Ain,Jogador,Normal,0,76,39
AUS11,390,11,Austrália,E,AFC,24,Honda,MEI,Yokohama FM,Jogador,Normal,0,76,39
AUS12,391,12,Austrália,E,AFC,24,Al-Dawsari,MEI,Al-Hilal,Jogador,Normal,0,79,39
AUS13,392,13,Austrália,E,AFC,24,Honda,ATA,Al-Hilal,Jogador,Normal,0,77,39
AUS14,393,14,Austrália,E,AFC,24,Al-Buraikan,ATA,Al-Ain,Jogador,Normal,0,76,39
AUS15,394,15,Austrália,E,AFC,24,Kubo,ATA,Urawa Reds,Jogador,Normal,0,73,39
AUS16,395,16,Austrália,E,AFC,24,Honda,ATA,Al-Nassr,Jogador,Normal,0,79,39
AUS17,396,17,Austrália,E,AFC,24,Al-Buraikan,ATA,Jeonbuk,Jogador,Normal,0,77,39
AUS18,397,18,Austrália,E,AFC,24,Salem,ATA,Al-Nassr,Jogador,Normal,0,78,39
AUS19,398,19,Austrália,E,AFC,24,Estrela Austrália,ATA,Kashima Antlers,Estrela,Brilhante,1,83,39
AUS20,399,20,Austrália,E,AFC,24,Estrela Austrália,ATA,Kashima Antlers,Destaque,Brilhante,1,82,39
CHI01,400,1,Chile,E,CONMEBOL,37,Escudo Chile,ESP,—,Escudo,Brilhante,1,,41
CHI02,401,2,Chile,E,CONMEBOL,37,Grupo E — Chile,ESP,—,Grupo,Normal,0,,41
CHI03,402,3,Chile,E,CONMEBOL,37,López,GOL,Athletico PR,Goleiro,Normal,0,77,41
CHI04,403,4,Chile,E,CONMEBOL,37,Rodríguez,GOL,Santos,Goleiro,Normal,0,73,41
CHI05,404,5,Chile,E,CONMEBOL,37,González,ZAG,Athletico PR,Jogador,Normal,0,77,41
CHI06,405,6,Chile,E,CONMEBOL,37,Martínez,ZAG,Independiente,Jogador,Normal,0,77,41
CHI07,406,7,Chile,E,CONMEBOL,37,Herrera,ZAG,Boca Juniors,Jogador,Normal,0,75,41
CHI08,407,8,Chile,E,CONMEBOL,37,Torres,LAT,Nacional,Jogador,Normal,0,72,41
CHI09,408,9,Chile,E,CONMEBOL,37,Ramírez,LAT,Flamengo,Jogador,Normal,0,74,41
CHI10,409,10,Chile,E,CONMEBOL,37,Rodríguez,VOL,River Plate,Jogador,Normal,0,72,41
CHI11,410,11,Chile,E,CONMEBOL,37,Vargas,MEI,Corinthians,Jogador,Normal,0,73,41
CHI12,411,12,Chile,E,CONMEBOL,37,Flores,MEI,Peñarol,Jogador,Normal,0,71,41
CHI13,412,13,Chile,E,CONMEBOL,37,Sánchez,ATA,São Paulo,Jogador,Normal,0,76,41
CHI14,413,14,Chile,E,CONMEBOL,37,González,ATA,Santos,Jogador,Normal,0,75,41
CHI15,414,15,Chile,E,CONMEBOL,37,Vargas,ATA,Racing Club,Jogador,Normal,0,68,41
CHI16,415,16,Chile,E,CONMEBOL,37,Flores,ATA,Palmeiras,Jogador,Normal,0,72,41
CHI17,416,17,Chile,E,CONMEBOL,37,Ramírez,ATA,Independiente,Jogador,Normal,0,72,41
CHI18,417,18,Chile,E,CONMEBOL,37,Torres,ATA,Peñarol,Jogador,Normal,0,71,41
CHI19,418,19,Chile,E,CONMEBOL,37,Estrela Chile,ATA,River Plate,Estrela,Brilhante,1,75,41
CHI20,419,20,Chile,E,CONMEBOL,37,Estrela Chile,ATA,River Plate,Destaque,Brilhante,1,75,41
ING01,420,1,Inglaterra,F,UEFA,4,Escudo Inglaterra,ESP,—,Escudo,Brilhante,1,,43
ING02,421,2,Inglaterra,F,UEFA,4,Grupo F — Inglaterra,ESP,—,Grupo,Normal,0,,43
ING03,422,3,Inglaterra,F,UEFA,4,Jordan Pickford,GOL,Everton,Goleiro,Normal,0,82,43
ING04,423,4,Inglaterra,F,UEFA,4,Dean Henderson,GOL,Crystal Palace,Goleiro,Normal,0,82,43
ING05,424,5,Inglaterra,F,UEFA,4,John Stones,ZAG,Manchester City,Jogador,Normal,0,81,43
ING06,425,6,Inglaterra,F,UEFA,4,Harry Maguire,ZAG,Manchester United,Jogador,Normal,0,80,43
ING07,426,7,Inglaterra,F,UEFA,4,Marc Guehi,ZAG,Crystal Palace,Jogador,Normal,0,82,43
ING08,427,8,Inglaterra,F,UEFA,4,Kieran Trippier,LAT,Newcastle,Jogador,Normal,0,86,43
ING09,428,9,Inglaterra,F,UEFA,4,Luke Shaw,LAT,Manchester United,Jogador,Normal,0,88,43
ING10,429,10,Inglaterra,F,UEFA,4,Declan Rice,VOL,Arsenal,Jogador,Normal,0,90,43
ING11,430,11,Inglaterra,F,UEFA,4,Jude Bellingham,MEI,Real Madrid,Jogador,Normal,0,83,43
ING12,431,12,Inglaterra,F,UEFA,4,Phil Foden,MEI,Manchester City,Jogador,Normal,0,87,43
ING13,432,13,Inglaterra,F,UEFA,4,Marcus Rashford,ATA,Manchester United,Jogador,Normal,0,86,43
ING14,433,14,Inglaterra,F,UEFA,4,Raheem Sterling,ATA,Arsenal,Jogador,Normal,0,89,43
ING15,434,15,Inglaterra,F,UEFA,4,Jarrod Bowen,ATA,West Ham,Jogador,Normal,0,85,43
ING16,435,16,Inglaterra,F,UEFA,4,Cole Palmer,ATA,Chelsea,Jogador,Normal,0,83,43
ING17,436,17,Inglaterra,F,UEFA,4,Bukayo Saka,ATA,Arsenal,Jogador,Normal,0,84,43
ING18,437,18,Inglaterra,F,UEFA,4,Anthony Gordon,ATA,Newcastle,Jogador,Normal,0,88,43
ING19,438,19,Inglaterra,F,UEFA,4,Harry Kane,ATA,Bayern Munique,Estrela,Brilhante,1,89,43
ING20,439,20,Inglaterra,F,UEFA,4,Harry Kane,ATA,Bayern Munique,Destaque,Brilhante,1,85,43
EST01,440,1,Estados Unidos,F,CONCACAF,17,Escudo Estados Unidos,ESP,—,Escudo,Brilhante,1,,45
EST02,441,2,Estados Unidos,F,CONCACAF,17,Grupo F — Estados Unidos,ESP,—,Grupo,Normal,0,,45
EST03,442,3,Estados Unidos,F,CONCACAF,17,Johnston,GOL,Cruz Azul,Goleiro,Normal,0,77,45
EST04,443,4,Estados Unidos,F,CONCACAF,17,Cavallini,GOL,Club América,Goleiro,Normal,0,81,45
EST05,444,5,Estados Unidos,F,CONCACAF,17,Lawrence,ZAG,Chivas,Jogador,Normal,0,79,45
EST06,445,6,Estados Unidos,F,CONCACAF,17,Johnston,ZAG,Cruz Azul,Jogador,Normal,0,75,45
EST07,446,7,Estados Unidos,F,CONCACAF,17,Osorio,ZAG,LA Galaxy,Jogador,Normal,0,74,45
EST08,447,8,Estados Unidos,F,CONCACAF,17,Hernández,LAT,LA Galaxy,Jogador,Normal,0,75,45
EST09,448,9,Estados Unidos,F,CONCACAF,17,Lawrence,LAT,Chivas,Jogador,Normal,0,78,45
EST10,449,10,Estados Unidos,F,CONCACAF,17,Lozano,VOL,CF Montréal,Jogador,Normal,0,80,45
EST11,450,11,Estados Unidos,F,CONCACAF,17,Larin,MEI,LA Galaxy,Jogador,Normal,0,75,45
EST12,451,12,Estados Unidos,F,CONCACAF,17,Davies,MEI,CF Montréal,Jogador,Normal,0,77,45
EST13,452,13,Estados Unidos,F,CONCACAF,17,Lawrence,ATA,LA Galaxy,Jogador,Normal,0,75,45
EST14,453,14,Estados Unidos,F,CONCACAF,17,Lawrence,ATA,LA Galaxy,Jogador,Normal,0,74,45
EST15,454,15,Estados Unidos,F,CONCACAF,17,Lozano,ATA,CF Montréal,Jogador,Normal,0,75,45
EST16,455,16,Estados Unidos,F,CONCACAF,17,Moreno,ATA,Cruz Azul,Jogador,Normal,0,82,45
EST17,456,17,Estados Unidos,F,CONCACAF,17,Cavallini,ATA,Pumas,Jogador,Normal,0,78,45
EST18,457,18,Estados Unidos,F,CONCACAF,17,Osorio,ATA,LA Galaxy,Jogador,Normal,0,76,45
EST19,458,19,Estados Unidos,F,CONCACAF,17,Estrela Estados Unidos,ATA,Cruz Azul,Estrela,Brilhante,1,81,45
EST20,459,20,Estados Unidos,F,CONCACAF,17,Estrela Estados Unidos,ATA,CF Montréal,Destaque,Brilhante,1,75,45
EGI01,460,1,Egito,F,CAF,39,Escudo Egito,ESP,—,Escudo,Brilhante,1,,47
EGI02,461,2,Egito,F,CAF,39,Grupo F — Egito,ESP,—,Grupo,Normal,0,,47
EGI03,462,3,Egito,F,CAF,39,Asante,GOL,Mamelodi Sundowns,Goleiro,Normal,0,73,47
EGI04,463,4,Egito,F,CAF,39,Touré,GOL,Espérance Tunis,Goleiro,Normal,0,70,47
EGI05,464,5,Egito,F,CAF,39,Cissé,ZAG,Asante Kotoko,Jogador,Normal,0,69,47
EGI06,465,6,Egito,F,CAF,39,Keita,ZAG,Wydad,Jogador,Normal,0,69,47
EGI07,466,7,Egito,F,CAF,39,Diop,ZAG,Wydad,Jogador,Normal,0,73,47
EGI08,467,8,Egito,F,CAF,39,Koné,LAT,Zamalek,Jogador,Normal,0,71,47
EGI09,468,9,Egito,F,CAF,39,Diop,LAT,Espérance Tunis,Jogador,Normal,0,71,47
EGI10,469,10,Egito,F,CAF,39,Ndiaye,VOL,TP Mazembe,Jogador,Normal,0,67,47
EGI11,470,11,Egito,F,CAF,39,Koné,MEI,TP Mazembe,Jogador,Normal,0,70,47
EGI12,471,12,Egito,F,CAF,39,Cissé,MEI,Al-Ahly,Jogador,Normal,0,75,47
EGI13,472,13,Egito,F,CAF,39,Cissé,ATA,TP Mazembe,Jogador,Normal,0,75,47
EGI14,473,14,Egito,F,CAF,39,Diallo,ATA,Espérance Tunis,Jogador,Normal,0,73,47
EGI15,474,15,Egito,F,CAF,39,Mensah,ATA,TP Mazembe,Jogador,Normal,0,74,47
EGI16,475,16,Egito,F,CAF,39,Cissé,ATA,TP Mazembe,Jogador,Normal,0,72,47
EGI17,476,17,Egito,F,CAF,39,Asante,ATA,Asante Kotoko,Jogador,Normal,0,75,47
EGI18,477,18,Egito,F,CAF,39,Fall,ATA,Raja Casablanca,Jogador,Normal,0,71,47
EGI19,478,19,Egito,F,CAF,39,Estrela Egito,ATA,Raja Casablanca,Estrela,Brilhante,1,72,47
EGI20,479,20,Egito,F,CAF,39,Estrela Egito,ATA,TP Mazembe,Destaque,Brilhante,1,77,47
CAM01,480,1,Camarões,F,CAF,43,Escudo Camarões,ESP,—,Escudo,Brilhante,1,,49
CAM02,481,2,Camarões,F,CAF,43,Grupo F — Camarões,ESP,—,Grupo,Normal,0,,49
CAM03,482,3,Camarões,F,CAF,43,Diallo,GOL,TP Mazembe,Goleiro,Normal,0,72,49
CAM04,483,4,Camarões,F,CAF,43,Osei,GOL,TP Mazembe,Goleiro,Normal,0,73,49
CAM05,484,5,Camarões,F,CAF,43,Keita,ZAG,Kaizer Chiefs,Jogador,Normal,0,68,49
CAM06,485,6,Camarões,F,CAF,43,Fall,ZAG,Asante Kotoko,Jogador,Normal,0,70,49
CAM07,486,7,Camarões,F,CAF,43,Cissé,ZAG,TP Mazembe,Jogador,Normal,0,75,49
